iteration,phase,parent_iteration,loss_type,loss_gamma,loss_alpha,use_class_weights,dropout_rate,head_hidden_features,learning_rate,num_epochs,freeze_backbone,weight_decay,scheduler_patience,scheduler_mode,early_stopping_enabled,early_stopping_patience,early_stopping_monitor,early_stopping_min_delta,rare_class_aug_enabled,threshold_optimization,auc_improvement_enabled
126,HERNIA_THRESHOLD_STABILIZATION,122,BCE,-,-,No,0.3000,-,0.0001,10,Yes,0.0001,3,max,Yes,5,val_macro_auc,0.0010,No,per_class_f1_score,No
126,HERNIA_THRESHOLD_STABILIZATION,122,BCE,-,-,No,0.3000,-,0.0001,10,Yes,0.0001,3,max,Yes,5,val_macro_auc,0.0010,No,per_class_f1_score,No
126,HERNIA_THRESHOLD_STABILIZATION,122,BCE,-,-,No,0.3000,-,0.0001,10,Yes,0.0001,3,max,Yes,5,val_macro_auc,0.0010,No,per_class_f1_score,No
126,HERNIA_THRESHOLD_STABILIZATION,122,BCE,-,-,No,0.3000,-,0.0001,10,Yes,0.0001,3,max,Yes,5,val_macro_auc,0.0010,No,per_class_f1_score,No
126,HERNIA_THRESHOLD_STABILIZATION,122,BCE,-,-,No,0.3000,-,0.0001,10,Yes,0.0001,3,max,Yes,5,val_macro_auc,0.0010,No,per_class_f1_score,No
126,HERNIA_THRESHOLD_STABILIZATION,122,BCE,-,-,No,0.3000,-,0.0001,10,Yes,0.0001,3,max,Yes,5,val_macro_auc,0.0010,No,per_class_f1_score,No
127,HERNIA_THRESHOLD_STABILIZATION,126,BCE,-,-,No,0.3000,-,0.0001,10,Yes,0.0001,3,max,Yes,5,val_macro_auc,0.0010,No,per_class_f1_score,No
128,HERNIA_THRESHOLD_STABILIZATION,127,BCE,-,-,No,0.3000,-,0.0001,10,Yes,0.0001,3,max,Yes,5,val_macro_auc,0.0010,No,per_class_f1_score,No
129,HERNIA_THRESHOLD_STABILIZATION,128,BCE,-,-,No,0.3000,-,0.0001,10,Yes,0.0001,3,max,Yes,5,val_macro_auc,0.0010,No,per_class_f1_score,No
130,HERNIA_THRESHOLD_STABILIZATION,129,BCE,-,-,No,0.3000,-,0.0001,10,Yes,0.0001,3,max,Yes,5,val_macro_auc,0.0010,No,per_class_f1_score,No
131,HERNIA_THRESHOLD_STABILIZATION,130,BCE,-,-,No,0.3000,-,0.0001,10,Yes,0.0001,3,max,Yes,5,val_macro_auc,0.0010,No,per_class_f1_score,No
132,PHASE_5_AUC_IMPROVEMENT,84,FocalLoss,3.00,0.7500,Yes,0.3000,-,0.0005,50,-,0.00e+00,5,min,Yes,5,-,0.0100,Yes,per_class_f1_score,Yes
133,PHASE_5_AUC_IMPROVEMENT,84,FocalLoss,3.00,0.7500,Yes,0.3000,-,0.0005,50,-,0.00e+00,5,min,Yes,5,-,0.0100,Yes,per_class_f1_score,Yes
134,PHASE_5_AUC_IMPROVEMENT,84,FocalLoss,3.00,0.7500,Yes,0.3000,-,0.0005,50,-,0.00e+00,5,min,Yes,5,-,0.0100,Yes,per_class_f1_score,Yes
135,PHASE_5_AUC_IMPROVEMENT,84,FocalLoss,3.00,0.7500,Yes,0.3000,-,0.0005,50,-,0.00e+00,5,min,Yes,5,-,0.0100,Yes,per_class_f1_score,Yes
136,PHASE_5_AUC_IMPROVEMENT,84,FocalLoss,3.00,0.7500,Yes,0.3000,-,0.0005,50,-,0.00e+00,5,min,Yes,5,-,0.0100,Yes,per_class_f1_score,Yes
137,PHASE_5_AUC_IMPROVEMENT,84,FocalLoss,3.00,0.7500,Yes,0.3000,-,0.0005,50,-,0.00e+00,5,min,Yes,5,-,0.0100,Yes,per_class_f1_score,Yes
138,PHASE_5_AUC_IMPROVEMENT,84,FocalLoss,3.00,0.7500,Yes,0.3000,-,0.0005,50,-,0.00e+00,5,min,Yes,5,-,0.0100,Yes,per_class_f1_score,Yes
139,PHASE_5_AUC_IMPROVEMENT,84,FocalLoss,3.00,0.7500,Yes,0.3000,-,0.0005,50,-,0.00e+00,5,min,Yes,5,-,0.0100,Yes,per_class_f1_score,Yes
140,PHASE_5_AUC_IMPROVEMENT,84,FocalLoss,3.00,0.7500,Yes,0.3000,-,0.0005,50,-,0.00e+00,5,min,Yes,5,-,0.0100,Yes,per_class_f1_score,Yes
